"Airport","Country","Date","Passengers"
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2021-05-01,1268117
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2021-06-01,1701419
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2021-07-01,2554499
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2021-08-01,2967996
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2021-09-01,2839431
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2021-10-01,3060319
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2021-11-01,3106030
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2021-12-01,3070719
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2022-01-01,2689043
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2022-02-01,2876877
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2022-03-01,3557730
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2022-04-01,4041330
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2022-05-01,4323394
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2022-06-01,4537653
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2022-07-01,5020286
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2022-08-01,4981082
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2022-09-01,4787309
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2022-10-01,4808064
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2022-11-01,4449852
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2022-12-01,4543338
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2023-01-01,4432089
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2023-02-01,4172793
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2023-03-01,4820345
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2023-04-01,4869614
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2023-05-01,5050748
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2023-06-01,0
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2023-07-01,0
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2023-08-01,0
"ADOLFO SUAREZ MADRID-BARAJAS airport","Spain",2023-09-01,0
"AMSTERDAM/SCHIPHOL airport","Netherlands",2002-01-01,0
